"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"[ 1.          2.          2.          0.          2.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44816279  0.62145642
  0.68295428  0.72330819  0.93413352  0.25578496  0.05647891  0.10171024
  0.2888006   0.44766635  0.44816279  0.6750261   0.85606524  0.19454363
  0.1498375   0.31461409 17.         19.         11.         13.
 20.         24.          0.          2.          8.         14.
  1.          7.         15.         10.         16.          4.
  9.          5.         25.         21.         18.         12.
  3.         22.         23.        ]";"[ 1.          2.          2.          0.          2.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44816279  0.62145642
  0.68295428  0.72330819  0.93413352  0.25578496  0.05647891  0.10171024
  0.2888006   0.44766635  0.44816279  0.6750261   0.85606524  0.19454363
  0.1498375   0.31461409 17.         12.         13.          7.
 22.          1.         16.         21.          8.          4.
  2.         20.          9.         11.          3.         18.
 10.         24.         14.         15.          5.         25.
 19.          6.         23.        ]"
"[ 1.          2.          2.          0.          2.          0.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.92283716  0.35879947
  0.68295428  0.72330819  0.1498375   0.09499699  0.17213138  0.16564574
  0.22074137  0.42674308  0.03658261  0.64272701  0.31461409  0.0276613
  0.10171024  0.2888006  17.         19.         24.          2.
  8.          7.         11.         13.         14.          1.
 15.         10.         16.          4.          9.          5.
 25.         21.         18.         12.          3.         22.
 23.         20.          6.        ]";"[ 1.          2.          2.          0.          2.          0.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.92283716  0.35879947
  0.68295428  0.72330819  0.1498375   0.09499699  0.17213138  0.16564574
  0.22074137  0.42674308  0.03658261  0.64272701  0.31461409  0.0276613
  0.10171024  0.2888006  17.         12.         21.          8.
 13.         11.          7.          4.          2.          9.
  3.         16.         22.         18.          1.         10.
 24.         14.         15.          5.         25.         19.
  6.         20.         23.        ]"
"[1.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 0.00000000e+00 2.00000000e+00 2.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.22837155e-01 3.58799468e-01 5.99210720e-03 4.48162793e-01
 1.49837499e-01 9.49969863e-02 1.72131381e-01 1.65645743e-01
 2.20741371e-01 4.26743083e-01 3.65826063e-02 6.42727009e-01
 3.14614088e-01 2.76613017e-02 1.01710243e-01 2.88800599e-01
 1.70000000e+01 1.90000000e+01 2.40000000e+01 2.00000000e+00
 8.00000000e+00 7.00000000e+00 1.10000000e+01 1.30000000e+01
 1.40000000e+01 1.00000000e+00 1.50000000e+01 1.00000000e+01
 1.60000000e+01 4.00000000e+00 9.00000000e+00 5.00000000e+00
 2.50000000e+01 2.10000000e+01 1.80000000e+01 1.20000000e+01
 3.00000000e+00 2.20000000e+01 2.30000000e+01 2.00000000e+01
 6.00000000e+00]";"[1.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 0.00000000e+00 2.00000000e+00 2.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.22837155e-01 3.58799468e-01 5.99210720e-03 4.48162793e-01
 1.49837499e-01 9.49969863e-02 1.72131381e-01 1.65645743e-01
 2.20741371e-01 4.26743083e-01 3.65826063e-02 6.42727009e-01
 3.14614088e-01 2.76613017e-02 1.01710243e-01 2.88800599e-01
 1.70000000e+01 1.20000000e+01 2.10000000e+01 8.00000000e+00
 1.30000000e+01 1.10000000e+01 7.00000000e+00 4.00000000e+00
 2.00000000e+00 9.00000000e+00 3.00000000e+00 1.60000000e+01
 2.20000000e+01 1.80000000e+01 1.00000000e+00 1.00000000e+01
 2.40000000e+01 1.40000000e+01 1.50000000e+01 5.00000000e+00
 2.50000000e+01 1.90000000e+01 6.00000000e+00 2.00000000e+01
 2.30000000e+01]"
"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.93413352  0.25578496
  0.47370335  0.55237392  0.58361682  0.68295428  0.7375099   0.10171024
  0.2888006   0.44766635  0.44816279  0.6750261   0.85606524  0.19454363
  0.44816279  0.20104584 17.         19.         11.         13.
 15.         10.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 20.         24.          8.          0.         23.         16.
  4.          2.          7.        ]";"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.93413352  0.25578496
  0.47370335  0.55237392  0.58361682  0.68295428  0.7375099   0.10171024
  0.2888006   0.44766635  0.44816279  0.6750261   0.85606524  0.19454363
  0.44816279  0.20104584 17.         12.         13.          7.
 11.          9.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 22.          1.         21.         16.         20.         18.
  8.         25.          3.        ]"
"[ 1.          0.          2.          0.          2.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44816279  0.03658261
  0.94996843  0.89365286  0.68295428  0.03658261  0.64272701  0.10171024
  0.2888006   0.44766635  0.44816279  0.6750261   0.85606524  0.19454363
  0.44816279  0.20104584 17.         20.         24.          0.
 19.          8.         23.         13.         11.         15.
 16.          4.          2.          7.          5.          0.
  0.          0.          0.          0.         14.          0.
  0.          1.         10.        ]";"[ 1.          0.          2.          0.          2.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44816279  0.03658261
  0.94996843  0.89365286  0.68295428  0.03658261  0.64272701  0.10171024
  0.2888006   0.44766635  0.44816279  0.6750261   0.85606524  0.19454363
  0.44816279  0.20104584 17.         22.          1.         16.
 12.         21.         20.          7.         13.         18.
  8.         11.         25.          3.          6.          9.
 10.          0.          0.          0.          0.          0.
  0.          2.          4.        ]"
"[ 1.          0.          2.          2.          0.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          0.          0.1498375   0.31461409
  0.83087267  0.39125097  0.56774418  0.83829251  0.60825303  0.42674308
  0.03658261  0.5396448   0.03658261  0.64272701  0.2888006   0.1498375
  0.31461409  0.79981356 17.         20.         19.         11.
 13.         14.          1.          7.         15.         10.
  0.          0.          0.          0.          0.          0.
  0.          0.         24.          2.          8.          5.
 16.         21.         23.        ]";"[ 1.          0.          2.          2.          0.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          0.          0.1498375   0.31461409
  0.83087267  0.39125097  0.56774418  0.83829251  0.60825303  0.42674308
  0.03658261  0.5396448   0.03658261  0.64272701  0.2888006   0.1498375
  0.31461409  0.79981356 17.         22.         12.         13.
  7.          4.          2.          9.         11.          3.
  0.          0.          0.          0.          0.          0.
  0.          0.         21.          8.         10.         18.
 16.         23.          0.        ]"
"[1.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 2.00000000e+00 2.00000000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.70324831e-03 5.64789120e-02 1.89278119e-01 3.26477270e-01
 3.58799468e-01 5.99210720e-03 5.83616823e-01 1.72131381e-01
 6.42727009e-01 9.23313295e-01 8.80256445e-01 2.10775981e-01
 6.75026102e-01 8.56065242e-01 5.92147123e-01 9.00374413e-01
 1.70000000e+01 2.00000000e+01 2.40000000e+01 0.00000000e+00
 0.00000000e+00 1.90000000e+01 1.10000000e+01 0.00000000e+00
 1.50000000e+01 1.00000000e+01 9.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.60000000e+01
 1.80000000e+01 4.00000000e+00 1.30000000e+01 2.00000000e+00
 8.00000000e+00]";"[1.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 2.00000000e+00 2.00000000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.70324831e-03 5.64789120e-02 1.89278119e-01 3.26477270e-01
 3.58799468e-01 5.99210720e-03 5.83616823e-01 1.72131381e-01
 6.42727009e-01 9.23313295e-01 8.80256445e-01 2.10775981e-01
 6.75026102e-01 8.56065242e-01 5.92147123e-01 9.00374413e-01
 1.70000000e+01 2.20000000e+01 1.00000000e+00 1.60000000e+01
 1.20000000e+01 1.30000000e+01 7.00000000e+00 9.00000000e+00
 6.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.90000000e+01 2.50000000e+01 2.40000000e+01
 3.00000000e+00 0.00000000e+00 1.80000000e+01 8.00000000e+00
 2.10000000e+01]"
"[ 2.          2.          1.          2.          0.          0.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.36871967  0.44816279
  0.85606524  0.21715093  0.68001143  0.68295428  0.62145642  0.72330819
  0.70514867  0.93413352  0.94996843  0.89365286  0.6750261   0.44766635
  0.43717106  0.47897422 17.         20.          0.         13.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         24.          0.          8.         23.
 19.         11.         14.        ]";"[ 2.          2.          1.          2.          0.          0.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.36871967  0.44816279
  0.85606524  0.21715093  0.68001143  0.68295428  0.62145642  0.72330819
  0.70514867  0.93413352  0.94996843  0.89365286  0.6750261   0.44766635
  0.43717106  0.47897422 17.         22.          0.          4.
 13.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          1.         16.         21.         20.
 12.          7.          2.        ]"
"[ 1.          2.          2.          0.          2.          0.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44816279  0.03658261
  0.94996843  0.89365286  0.10171024  0.2888006   0.44766635  0.44816279
  0.64272701  0.10171024  0.2888006   0.68295428  0.03658261  0.31461409
  0.64272701  0.1498375  17.         19.         11.         13.
 14.          1.          7.         15.         10.          5.
 24.         16.          4.          2.          8.         23.
  3.         21.          6.         25.          9.         20.
 18.          0.         12.        ]";"[ 1.          2.          2.          0.          2.          0.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44816279  0.03658261
  0.94996843  0.89365286  0.10171024  0.2888006   0.44766635  0.44816279
  0.64272701  0.10171024  0.2888006   0.68295428  0.03658261  0.31461409
  0.64272701  0.1498375  17.         12.         13.          7.
  4.          2.          9.         16.         19.         10.
 18.          8.          1.         11.         21.         20.
 24.          5.         23.         25.          3.         14.
  6.          0.         22.        ]"
