"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"[1.00000000e+00 2.00000000e+00 2.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 3.44956604e-01 9.28171057e-01 5.93287952e-01 7.07773631e-03
 2.13921763e-01 4.89815716e-01 5.22884906e-01 1.28493080e-01
 1.40304059e-01 7.05670493e-01 1.54303275e-01 8.96600816e-01
 2.00290827e-01 5.70621785e-01 3.66842616e-01 1.92721282e-01
 2.50000000e+01 1.90000000e+01 7.00000000e+00 1.20000000e+01
 1.70000000e+01 1.00000000e+00 2.40000000e+01 3.00000000e+00
 1.50000000e+01 6.00000000e+00 2.00000000e+01 8.00000000e+00
 2.30000000e+01 1.80000000e+01 1.00000000e+01 2.00000000e+00
 5.00000000e+00 2.20000000e+01 1.10000000e+01 1.60000000e+01
 1.30000000e+01 9.00000000e+00 1.40000000e+01 2.10000000e+01
 4.00000000e+00]";"[1.00000000e+00 2.00000000e+00 2.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 3.44956604e-01 9.28171057e-01 5.93287952e-01 7.07773631e-03
 2.13921763e-01 4.89815716e-01 5.22884906e-01 1.28493080e-01
 1.40304059e-01 7.05670493e-01 1.54303275e-01 8.96600816e-01
 2.00290827e-01 5.70621785e-01 3.66842616e-01 1.92721282e-01
 1.60000000e+01 4.00000000e+00 2.10000000e+01 1.10000000e+01
 1.30000000e+01 2.40000000e+01 2.30000000e+01 9.00000000e+00
 2.00000000e+01 7.00000000e+00 3.00000000e+00 1.00000000e+00
 2.20000000e+01 8.00000000e+00 1.40000000e+01 1.90000000e+01
 1.50000000e+01 2.50000000e+01 1.70000000e+01 5.00000000e+00
 1.00000000e+01 1.80000000e+01 1.20000000e+01 6.00000000e+00
 2.00000000e+00]"
"[ 1.          2.          0.          0.          2.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.70206593  0.3770049
  0.4527917   0.56593857  0.84400106  0.37568872  0.76102523  0.12849308
  0.14030406  0.70567049  0.15430328  0.89660082  0.20029083  0.57062178
  0.36684262  0.19272128 24.         25.          1.          3.
 15.          6.          4.         14.         12.         10.
 21.          2.          9.          8.         13.         20.
 23.         18.          5.         22.         11.         16.
 19.          7.         17.        ]";"[ 1.          2.          0.          0.          2.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.70206593  0.3770049
  0.4527917   0.56593857  0.84400106  0.37568872  0.76102523  0.12849308
  0.14030406  0.70567049  0.15430328  0.89660082  0.20029083  0.57062178
  0.36684262  0.19272128 12.         24.          4.         23.
 11.          9.         20.          7.          6.         17.
 16.         13.         21.          3.          1.         22.
  8.         14.         19.         15.         25.          5.
 10.         18.          2.        ]"
"[ 1.          0.          0.          2.          0.          2.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.70206593  0.28404302
  0.82324758  0.43674335  0.51151977  0.3770049   0.4527917   0.68561608
  0.40090521  0.57420517  0.56593857  0.84400106  0.37568872  0.58174659
  0.49722386  0.05636115 10.          1.         21.          6.
 24.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 13.          0.          0.         19.          3.         17.
  5.          0.         25.        ]";"[ 1.          0.          0.          2.          0.          2.
  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.70206593  0.28404302
  0.82324758  0.43674335  0.51151977  0.3770049   0.4527917   0.68561608
  0.40090521  0.57420517  0.56593857  0.84400106  0.37568872  0.58174659
  0.49722386  0.05636115  6.         24.         23.         20.
 18.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 10.          0.          0.         22.          4.         12.
  7.          0.         16.        ]"
"[ 1.          0.          2.          2.          0.          0.
  1.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98978841  0.15484509
  0.52496599  0.61801161  0.41337849  0.22888369  0.52288491  0.12849308
  0.36684262  0.14030406  0.70567049  0.15430328  0.4370386   0.57062178
  0.11476864  0.97602521 21.         25.          1.          0.
  0.          0.          0.         19.          3.          8.
  9.         18.          4.         15.         14.          6.
 24.          0.          0.         13.         17.          5.
  0.          0.         12.        ]";"[ 1.          0.          2.          2.          0.          0.
  1.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98978841  0.15484509
  0.52496599  0.61801161  0.41337849  0.22888369  0.52288491  0.12849308
  0.36684262  0.14030406  0.70567049  0.15430328  0.4370386   0.57062178
  0.11476864  0.97602521 23.         24.          4.          0.
  0.          0.          0.         12.          1.         13.
 16.          5.          7.          9.          6.         19.
 20.         18.          0.         21.         22.          0.
  0.          0.         11.        ]"
"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 2.93681540e-02 7.07773631e-03 3.75688722e-01 7.61025230e-01
 7.48363118e-01 1.14768644e-01 7.38794880e-01 4.36743354e-01
 5.11519766e-01 8.58635995e-01 6.01063109e-02 9.30674943e-01
 4.97113948e-01 8.43622187e-01 7.47103428e-01 6.81556893e-01
 2.50000000e+01 1.00000000e+00 9.00000000e+00 1.80000000e+01
 1.50000000e+01 2.10000000e+01 6.00000000e+00 2.40000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.00000000e+00 1.00000000e+01 4.00000000e+00
 1.40000000e+01 0.00000000e+00 7.00000000e+00 0.00000000e+00
 2.00000000e+00]";"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 2.93681540e-02 7.07773631e-03 3.75688722e-01 7.61025230e-01
 7.48363118e-01 1.14768644e-01 7.38794880e-01 4.36743354e-01
 5.11519766e-01 8.58635995e-01 6.01063109e-02 9.30674943e-01
 4.97113948e-01 8.43622187e-01 7.47103428e-01 6.81556893e-01
 2.40000000e+01 4.00000000e+00 1.60000000e+01 5.00000000e+00
 9.00000000e+00 6.00000000e+00 2.30000000e+01 2.00000000e+01
 1.80000000e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.10000000e+01 1.40000000e+01 7.00000000e+00
 1.90000000e+01 0.00000000e+00 1.70000000e+01 0.00000000e+00
 2.10000000e+01]"
"[ 1.          0.          2.          0.          0.          2.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98978841  0.48972357
  0.49722386  0.94445734  0.74836312  0.70206593  0.76102523  0.58174659
  0.58174659  0.97602521  0.85863599  0.49547176  0.10522476  0.77296132
  0.7617397   0.15507399 25.          1.          9.         18.
  0.          0.          6.         19.         15.         24.
  3.          8.          5.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         13.         17.        ]";"[ 1.          0.          2.          0.          0.          2.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98978841  0.48972357
  0.49722386  0.94445734  0.74836312  0.70206593  0.76102523  0.58174659
  0.58174659  0.97602521  0.85863599  0.49547176  0.10522476  0.77296132
  0.7617397   0.15507399 24.          4.         16.          5.
  0.          0.         20.          9.         12.          1.
 13.         21.         22.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          7.         23.        ]"
"[ 1.          0.          0.          0.          2.          1.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.3449566   0.92817106
  0.43674335  0.48981572  0.52288491  0.20979464  0.54980556  0.29809332
  0.93067494  0.85863599  0.10522476  0.77296132  0.64837093  0.4370386
  0.11476864  0.97602521 25.          1.         24.          3.
 15.          6.          4.         14.         12.         16.
 13.          9.         20.         18.         19.          8.
 11.         23.          5.          2.         17.         10.
 21.          7.         22.        ]";"[ 1.          0.          0.          0.          2.          1.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.3449566   0.92817106
  0.43674335  0.48981572  0.52288491  0.20979464  0.54980556  0.29809332
  0.93067494  0.85863599  0.10522476  0.77296132  0.64837093  0.4370386
  0.11476864  0.97602521 24.          4.         23.         11.
  9.         20.          7.          6.         19.         13.
 16.         10.         18.         12.          5.         21.
  2.         25.         15.          8.          1.         17.
 14.         22.          3.        ]"
"[ 1.          0.          0.          1.          2.          0.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.3449566   0.64837093
  0.4370386   0.11476864  0.95805501  0.80501853  0.14030406  0.74710343
  0.88646424  0.52800512  0.61915798  0.61342986  0.85863599  0.10522476
  0.77296132  0.97602521 25.         19.          7.         12.
 17.          6.         13.         24.          9.          1.
  3.          8.         18.         15.          5.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          4.        ]";"[ 1.          0.          0.          1.          2.          0.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.3449566   0.64837093
  0.4370386   0.11476864  0.95805501  0.80501853  0.14030406  0.74710343
  0.88646424  0.52800512  0.61915798  0.61342986  0.85863599  0.10522476
  0.77296132  0.97602521 16.          4.         21.         11.
 13.         20.         10.         18.         12.         24.
  7.          5.          9.         25.         22.          0.
  0.          0.          0.          0.          0.          0.
  0.         15.         23.        ]"
"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98978841  0.70567049
  0.15430328  0.89660082  0.20029083  0.15484509  0.52496599  0.61801161
  0.41337849  0.22888369  0.52288491  0.12849308  0.57062178  0.36684262
  0.14030406  0.19272128 25.         23.         24.          3.
  2.          7.          1.          9.          4.         13.
 15.         14.          6.         21.          0.          0.
  0.          0.          0.         16.         22.         18.
 11.         20.         19.        ]";"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98978841  0.70567049
  0.15430328  0.89660082  0.20029083  0.15484509  0.52496599  0.61801161
  0.41337849  0.22888369  0.52288491  0.12849308  0.57062178  0.36684262
  0.14030406  0.19272128 24.         13.         23.         11.
 21.         18.          4.         16.          7.         12.
  9.          6.         19.         20.          0.          0.
  0.          0.         17.         15.          2.          5.
 10.          3.          1.        ]"
