"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]";"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.86583156  0.77334663
  0.68292655  0.15347767  0.25544933  0.85217475  0.77334663  0.15347767
  0.34945097  0.70426571  0.10609499  0.15347767  0.10609499  0.22137221
  0.32085854  0.82589736 24.         23.          2.          9.
 12.          7.         16.         25.         21.          6.
  4.         14.         11.          1.          5.         13.
 18.         20.         19.          3.         15.         22.
 10.         17.          8.        ]";"[ 1.          2.          2.          2.          0.          0.
  2.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.86583156  0.77334663
  0.68292655  0.15347767  0.25544933  0.85217475  0.77334663  0.15347767
  0.34945097  0.70426571  0.10609499  0.15347767  0.10609499  0.22137221
  0.32085854  0.82589736 14.          1.         10.          2.
 19.         20.          6.         16.         12.          9.
 13.          3.         25.         23.         17.          5.
 24.         21.          7.         22.          8.         15.
 11.         18.          4.        ]"
"[ 1.          2.          2.          2.          2.          0.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.86583156  0.77334663
  0.68292655  0.15347767  0.25544933  0.85217475  0.15347767  0.34945097
  0.70426571  0.10609499  0.77334663  0.15347767  0.10609499  0.22137221
  0.32085854  0.82589736 23.         25.          4.          2.
 12.         16.         11.          9.         18.         20.
 19.          3.         15.         22.          7.         21.
  6.         10.         14.          1.          5.         13.
  8.         24.         17.        ]";"[ 1.          2.          2.          2.          2.          0.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.86583156  0.77334663
  0.68292655  0.15347767  0.25544933  0.85217475  0.15347767  0.34945097
  0.70426571  0.10609499  0.77334663  0.15347767  0.10609499  0.22137221
  0.32085854  0.82589736 24.         16.         13.          2.
 10.         25.         23.         12.          1.          9.
 19.          7.         20.         22.          8.          3.
 15.          6.         11.          5.          4.         21.
 18.         14.         17.        ]"
"[ 1.          0.          2.          0.          2.          2.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.25961904  0.11401151  0.69816391  0.77334663  0.37466509  0.23837551
  0.3862463   0.67484334  0.32085854  0.03775158  0.03251707  0.49723091
  0.21507466  0.08655779 23.         24.         16.         11.
  6.         18.          2.          3.          0.          0.
  0.          0.          0.          0.          0.          0.
 19.          4.         15.         21.          0.          7.
  9.         25.         20.        ]";"[ 1.          0.          2.          0.          2.          2.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.25961904  0.11401151  0.69816391  0.77334663  0.37466509  0.23837551
  0.3862463   0.67484334  0.32085854  0.03775158  0.03251707  0.49723091
  0.21507466  0.08655779 14.         10.         25.         24.
  0.         18.          2.         12.          0.          0.
  0.          0.          0.          0.          0.          0.
  9.         19.          7.          3.          0.          0.
 17.          1.         16.        ]"
"[ 1.          2.          2.          2.          2.          0.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.89564531
  0.48679891  0.21507466  0.89564531  0.08655779  0.85217475  0.22137221
  0.70577607  0.38748547  0.79664382  0.85833039  0.10609499  0.11401151
  0.15347767  0.22137221 23.          2.         25.          9.
 18.         20.         19.          3.         15.         22.
  7.         21.         16.          6.         10.         14.
  1.         11.          5.         13.          4.          8.
 24.         17.         12.        ]";"[ 1.          2.          2.          2.          2.          0.
  0.          0.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.89564531
  0.48679891  0.21507466  0.89564531  0.08655779  0.85217475  0.22137221
  0.70577607  0.38748547  0.79664382  0.85833039  0.10609499  0.11401151
  0.15347767  0.22137221 14.          2.         12.          1.
 10.          9.         19.          7.         20.         22.
  8.          3.         15.         16.         25.         13.
  6.         11.          5.          4.         24.         21.
 18.         17.         23.        ]"
"[ 0.          0.          2.          2.          0.          2.
  0.          2.          0.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.25961904  0.37466509  0.23837551  0.3862463   0.67484334  0.03251707
  0.69816391  0.24427612  0.85833039  0.08655779  0.10609499  0.11401151
  0.15347767  0.22137221 18.          0.          0.         21.
  8.          0.          0.          0.          0.          0.
  1.         23.         12.          2.         20.          4.
  6.         13.         25.         24.         16.          7.
 15.         19.          9.        ]";"[ 0.          0.          2.          2.          0.          2.
  0.          2.          0.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.25961904  0.37466509  0.23837551  0.3862463   0.67484334  0.03251707
  0.69816391  0.24427612  0.85833039  0.08655779  0.10609499  0.11401151
  0.15347767  0.22137221 19.          0.          0.         21.
 10.          0.          0.          0.          0.          0.
 24.          2.          7.          5.         12.          4.
 23.         14.         25.         16.         17.         11.
 15.          1.         22.        ]"
"[ 1.          0.          2.          2.          2.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.25961904  0.37466509  0.23837551  0.3862463   0.67484334  0.03251707
  0.69816391  0.77334663  0.49723091  0.21507466  0.08655779  0.85217475
  0.77334663  0.11401151 24.         16.         11.         23.
  2.         25.          4.         14.          6.          3.
  0.          0.          0.          0.          0.          0.
  0.          0.         21.          0.         13.         18.
  7.         12.          9.        ]";"[ 1.          0.          2.          2.          2.          2.
  0.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.25961904  0.37466509  0.23837551  0.3862463   0.67484334  0.03251707
  0.69816391  0.77334663  0.49723091  0.21507466  0.08655779  0.85217475
  0.77334663  0.11401151 14.         10.         25.         24.
  2.         12.         16.         13.         19.          0.
  0.          0.          0.          0.          0.          0.
  0.         18.          3.          0.          1.         17.
  9.         20.         23.        ]"
"[ 1.          0.          2.          2.          0.          2.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.22674053  0.25961904  0.37466509  0.54493284  0.53138587  0.57496428
  0.48302168  0.77334663  0.66664972  0.49723091  0.10609499  0.11401151
  0.15347767  0.22137221  9.         12.          7.         16.
  8.         18.          2.         25.         21.          6.
  4.          0.         20.          5.         22.         23.
 19.         24.          0.          0.          0.          0.
  0.          0.          0.        ]";"[ 1.          0.          2.          2.          0.          2.
  2.          2.          1.          1.          1.          1.
  1.          1.          1.          1.          0.44853101  0.06775819
  0.22674053  0.25961904  0.37466509  0.54493284  0.53138587  0.57496428
  0.48302168  0.77334663  0.66664972  0.49723091  0.10609499  0.11401151
  0.15347767  0.22137221  1.         10.         19.         20.
 18.          8.          2.          6.         16.         12.
  9.          0.         24.          7.          0.         14.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]"
"[2.00000000e+00 0.00000000e+00 2.00000000e+00 2.00000000e+00
 0.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.49450966e-01 6.77581909e-02 1.03216861e-01 6.56176894e-01
 3.56189696e-02 6.67886008e-01 8.27493339e-01 8.04435076e-01
 3.20858536e-01 9.72767109e-04 4.27639701e-01 9.14216899e-01
 1.87220257e-01 2.59619037e-01 1.14011512e-01 4.97230906e-01
 8.00000000e+00 1.20000000e+01 2.30000000e+01 2.20000000e+01
 2.00000000e+00 1.60000000e+01 9.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.40000000e+01
 1.10000000e+01 2.50000000e+01 4.00000000e+00 2.00000000e+01
 1.90000000e+01 3.00000000e+00 1.50000000e+01 1.80000000e+01
 1.40000000e+01]";"[2.00000000e+00 0.00000000e+00 2.00000000e+00 2.00000000e+00
 0.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.49450966e-01 6.77581909e-02 1.03216861e-01 6.56176894e-01
 3.56189696e-02 6.67886008e-01 8.27493339e-01 8.04435076e-01
 3.20858536e-01 9.72767109e-04 4.27639701e-01 9.14216899e-01
 1.87220257e-01 2.59619037e-01 1.14011512e-01 4.97230906e-01
 1.80000000e+01 8.00000000e+00 1.40000000e+01 2.00000000e+01
 1.00000000e+00 1.10000000e+01 1.00000000e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.50000000e+01
 2.40000000e+01 1.60000000e+01 1.30000000e+01 2.00000000e+00
 1.20000000e+01 9.00000000e+00 7.00000000e+00 1.90000000e+01
 0.00000000e+00]"
"[ 1.          0.          2.          2.          2.          2.
  0.          0.          1.          1.          0.          0.
  1.          0.          0.          1.          0.44853101  0.68292655
  0.55302183  0.91155323  0.53138587  0.57496428  0.15347767  0.25544933
  0.85217475  0.77334663  0.49723091  0.21507466  0.08655779  0.85217475
  0.77334663  0.11401151 23.          2.          9.         18.
 20.         16.          5.         22.         14.          8.
 13.          4.          0.          0.         12.          0.
  0.          0.          0.          0.          0.         11.
  0.          0.         24.        ]";"[ 1.          0.          2.          2.          2.          2.
  0.          0.          1.          1.          0.          0.
  1.          0.          0.          1.          0.44853101  0.68292655
  0.55302183  0.91155323  0.53138587  0.57496428  0.15347767  0.25544933
  0.85217475  0.77334663  0.49723091  0.21507466  0.08655779  0.85217475
  0.77334663  0.11401151 14.          1.         10.          9.
 19.         24.          2.         20.         23.          0.
 22.          0.          0.          0.          8.         11.
  0.          0.          0.          0.          0.         18.
  0.          0.          0.        ]"
