#cliente (linha) x produto(coluna);;;;;;;;;;;;;
#periodo1;;;;;;;;;;;;;
12048;51168;71904;2880;161856;1632;109296;20688;101040;4752;21216;12480;7440;2736
12048;51168;71904;2880;161856;1632;109296;20688;101040;4752;21216;12480;7440;2736
18448.5;78351;110103;4410;247842;2499;167359.5;31678.5;154717.5;7276.5;32487;19110;11392.5;4189.5
18448.5;78351;110103;4410;247842;2499;167359.5;31678.5;154717.5;7276.5;32487;19110;11392.5;4189.5
18448.5;78351;110103;4410;247842;2499;167359.5;31678.5;154717.5;7276.5;32487;19110;11392.5;4189.5
18448.5;78351;110103;4410;247842;2499;167359.5;31678.5;154717.5;7276.5;32487;19110;11392.5;4189.5
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
6024;25584;35952;1440;80928;816;54648;10344;50520;2376;10608;6240;3720;1368
12885;54721;76897;3080;173096;1745;116886;22125;108057;5082;22689;13347;7957;2926
12885;54721;76897;3080;173096;1745;116886;22125;108057;5082;22689;13347;7957;2926
6069000;262000;242000;2000;889000;1000;175000;116000;128000;3000;11000;60000;12000;219000
#periodo2;;;;;;;;;;;;;
10608;39744;55440;1440;131952;1152;92352;18480;81600;3696;24912;9456;7008;2544
10608;39744;55440;1440;131952;1152;92352;18480;81600;3696;24912;9456;7008;2544
16243.5;60858;84892.5;2205;202051.5;1764;141414;28297.5;124950;5659.5;38146.5;14479.5;10731;3895.5
16243.5;60858;84892.5;2205;202051.5;1764;141414;28297.5;124950;5659.5;38146.5;14479.5;10731;3895.5
16243.5;60858;84892.5;2205;202051.5;1764;141414;28297.5;124950;5659.5;38146.5;14479.5;10731;3895.5
16243.5;60858;84892.5;2205;202051.5;1764;141414;28297.5;124950;5659.5;38146.5;14479.5;10731;3895.5
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
5304;19872;27720;720;65976;576;46176;9240;40800;1848;12456;4728;3504;1272
11345;42504;59290;1540;141115;1232;98765;19763;87267;3953;26642;10113;7495;2721
11345;42504;59290;1540;141115;1232;98765;19763;87267;3953;26642;10113;7495;2721
8279000;92000;410000;6000;1626000;1000;259000;143000;347000;3000;95000;118000;11000;383000
#periodo3;;;;;;;;;;;;;
8640;29568;51840;1344;123504;1248;88080;17856;87696;4272;26400;10560;6816;2112
8640;29568;51840;1344;123504;1248;88080;17856;87696;4272;26400;10560;6816;2112
13230;45276;79380;2058;189115.5;1911;134872.5;27342;134284.5;6541.5;40425;16170;10437;3234
13230;45276;79380;2058;189115.5;1911;134872.5;27342;134284.5;6541.5;40425;16170;10437;3234
13230;45276;79380;2058;189115.5;1911;134872.5;27342;134284.5;6541.5;40425;16170;10437;3234
13230;45276;79380;2058;189115.5;1911;134872.5;27342;134284.5;6541.5;40425;16170;10437;3234
4320;14784;25920;672;61752;624;44040;8928;43848;2136;13200;5280;3408;1056
4320;14784;25920;672;61752;624;44040;8928;43848;2136;13200;5280;3408;1056
